ID time Y Z
299 773311 3 435 116
300 773311 4 431 116
301 773311 5 509 116
302 773311 6 533 116
303 773311 7 549 116
304 773311 8 583 116
305 775311 1 365 107
306 775311 2 456 107
307 775311 3 473 107
308 775311 4 548 107
309 775311 5 538 107
310 775311 6 558 107
311 775311 7 651 107
312 775311 8 701 107
313 776311 1 349 122
314 776311 2 376 122
315 776311 3 432 122
316 776311 4 452 122
317 776311 5 490 122
318 776311 6 513 122
319 776311 7 534 122
320 776311 8 593 122
321 777311 1 330 93
322 777311 2 349 93
323 777311 3 400 93
324 777311 4 431 93
325 777311 5 482 93
326 777311 6 476 93
327 777311 7 509 93
328 777311 8 566 93
329 777811 1 380 126
330 777811 2 414 126
331 777811 3 442 126
332 777811 4 478 126
333 777811 5 506 126
334 777811 6 523 126
335 777811 7 601 126
336 777811 8 637 126
337 778811 1 362 123
338 778811 2 421 123
339 778811 3 467 123
340 778811 4 494 123
341 778811 5 538 123
342 778811 6 585 123
343 778811 7 660 123
344 778811 8 620 123
345 779811 1 376 113
346 779811 2 444 113
347 779811 3 460 113
348 779811 4 490 113
349 779811 5 577 113
350 779811 6 558 113
351 779811 7 588 113
352 779811 8 643 113
353 780311 1 314 97
354 780311 2 359 97
355 780311 3 389 97
356 780311 4 406 97
357 780311 5 458 97
358 780311 6 468 97
359 780311 7 468 97
360 780311 8 514 97
361 781311 1 376 83
362 781311 2 352 83
363 781311 3 385 83
364 781311 4 447 83
365 781311 5 465 83
366 781311 6 506 83
367 781311 7 517 83
368 781311 8 525 83
369 782311 1 354 125
370 782311 2 366 125
371 782311 3 422 125
372 782311 4 422 125
373 782311 5 472 125
374 782311 6 497 125
375 782311 7 529 125
376 782311 8 551 125
377 784311 1 376 98
378 784311 2 430 98
379 784311 3 455 98
380 784311 4 472 98
381 784311 5 503 98
382 784311 6 554 98
383 784311 7 601 98
384 784311 8 655 98
385 786311 1 356 127
386 786311 2 379 127
387 786311 3 432 127
388 786311 4 438 127
389 786311 5 472 127
390 786311 6 503 127
391 786311 7 549 127
392 786311 8 555 127
393 787811 1 387 119
394 787811 2 364 119
395 787811 3 473 119
396 787811 4 494 119
397 787811 5 516 119
398 787811 6 540 119
399 787811 7 616 119
400 787811 8 602 119
401 788312 1 305 97
402 788312 2 321 97
403 788312 3 372 97
404 788312 4 394 97
405 788312 5 434 97
406 788312 6 494 97
407 788312 7 482 97
408 788312 8 506 97
409 789812 1 336 91
410 789812 2 377 91
411 789812 3 435 91
412 789812 4 463 91
413 789812 5 503 91
414 789812 6 530 91
415 789812 7 531 91
416 789812 8 488 91
417 791312 1 295 93
418 791312 2 343 93
419 791312 3 400 93
420 791312 4 433 93
421 791312 5 470 93
422 791312 6 500 93
423 791312 7 531 93
424 791312 8 573 93
425 792812 1 331 105
426 792812 2 409 105
427 792812 3 390 105
428 792812 4 463 105
429 792812 5 463 105
430 792812 6 526 105
431 792812 7 591 105
432 792812 8 579 105
433 793312 1 344 107
434 793312 2 416 107
435 793312 3 446 107
436 793312 4 472 107
437 793312 5 528 107
438 793312 6 570 107
439 793312 7 594 107
440 793312 8 648 107
441 794312 1 342 109
442 794312 2 375 109
443 794312 3 415 109
444 794312 4 460 109
445 794312 5 509 109
446 794312 6 570 109
447 794312 7 612 109
448 794312 8 670 109
449 794812 1 322 93
450 794812 2 337 93
451 794812 3 352 93
452 794812 4 372 93
453 794812 5 438 93
454 794812 6 426 93
455 794812 7 463 93
456 794812 8 497 93
457 799312 1 362 128
458 799312 2 398 128
459 799312 3 442 128
460 799312 4 469 128
461 799312 5 567 128
462 799312 6 638 128
463 799312 7 708 128
464 799312 8 648 128
465 802312 1 333 119
466 802312 2 393 119
467 802312 3 446 119
468 802312 4 463 119
469 802312 5 544 119
470 802312 6 611 119
471 802312 7 594 119
472 802312 8 593 119
473 806312 1 347 113
474 806312 2 421 113
475 806312 3 432 113
476 806312 4 478 113
477 806312 5 523 113
478 806312 6 580 113
479 806312 7 598 113
480 806312 8 662 113
481 806812 1 293 88
482 806812 2 305 88
483 806812 3 402 88
484 806812 4 390 88
485 806812 5 432 88
486 806812 6 440 88
487 806812 7 446 88
488 806812 8 488 88
489 807312 1 307 97
490 807312 2 323 97
491 807312 3 357 97
492 807312 4 388 97
493 807312 5 422 97
494 807312 6 425 97
495 807312 7 452 97
496 807312 8 500 97
497 810312 1 299 103
498 810312 2 328 103
499 810312 3 385 103
500 810312 4 412 103
501 810312 5 449 103
502 810312 6 476 103
503 810312 7 514 103
504 810312 8 525 103
505 812812 1 347 117
506 812812 2 371 117
507 812812 3 413 117
508 812812 4 422 117
509 812812 5 506 117
510 812812 6 530 117
511 812812 7 540 117
512 812812 8 576 117
513 816812 1 333 110
514 816812 2 382 110
515 816812 3 442 110
516 816812 4 455 110
517 816812 5 519 110
518 816812 6 533 110
519 816812 7 555 110
520 816812 8 596 110
521 838313 1 313 139
522 838313 2 382 139
523 838313 3 432 139
524 838313 4 504 139
525 838313 5 567 139
526 838313 6 619 139
527 838313 7 612 139
528 838313 8 643 139
529 844313 1 319 85
530 844313 2 411 85
531 844313 3 410 85
532 844313 4 414 85
533 844313 5 458 85
534 844313 6 488 85
535 844313 7 517 85
536 844313 8 555 85
537 846313 1 336 114
538 846313 2 386 114
539 846313 3 438 114
540 846313 4 466 114
541 846313 5 506 114
542 846313 6 543 114
543 846313 7 567 114
544 846313 8 599 114
545 847313 1 316 108
546 847313 2 416 108
547 847313 3 422 108
548 847313 4 522 108
549 847313 5 497 108
550 847313 6 558 108
551 847313 7 612 108
552 847313 8 624 108
553 847813 1 336 111
554 847813 2 430 111
555 847813 3 460 111
556 847813 4 509 111
557 847813 5 559 111
558 847813 6 585 111
559 847813 7 621 111
560 847813 8 620 111
561 848813 1 302 99
562 848813 2 355 99
563 848813 3 398 99
564 848813 4 450 99
565 848813 5 484 99
566 848813 6 550 99
567 848813 7 582 99
568 848813 8 602 99
569 849313 1 315 116
570 849313 2 409 116
571 849313 3 429 116
572 849313 4 490 116
573 849313 5 523 116
574 849313 6 558 116
575 849313 7 601 116
576 849313 8 616 116
577 858313 1 298 135
578 858313 2 381 135
579 858313 3 438 135
580 858313 4 490 135
581 858313 5 588 135
582 858313 6 597 135
583 858313 7 626 135
584 858313 8 679 135
585 860813 1 285 100
586 860813 2 414 100
587 860813 3 417 100
588 860813 4 494 100
589 860813 5 503 100
590 860813 6 570 100
591 860813 7 608 100
592 860813 8 586 100
593 868313 1 330 133
594 868313 2 406 133
595 868313 3 450 133
596 868313 4 463 133
597 868313 5 533 133
598 868313 6 558 133
599 868313 7 612 133
600 868313 8 637 133
601 872813 1 308 126
602 872813 2 391 126
603 872813 3 432 126
604 872813 4 475 126
605 872813 5 512 126
606 872813 6 562 126
607 872813 7 621 126
608 872813 8 655 126
609 873813 1 326 117
610 873813 2 430 117
611 873813 3 417 117
612 873813 4 516 117
613 873813 5 533 117
614 873813 6 575 117
615 873813 7 651 117
616 873813 8 624 117
617 877813 1 298 101
618 877813 2 409 101
619 877813 3 422 101
620 877813 4 466 101
621 877813 5 497 101
622 877813 6 491 101
623 877813 7 514 101
624 877813 8 586 101
625 878313 1 342 92
626 878313 2 393 92
627 878313 3 442 92
628 878313 4 486 92
629 878313 5 516 92
630 878313 6 550 92
631 878313 7 555 92
632 878313 8 624 92
633 879813 1 298 90
634 879813 2 430 90
635 879813 3 432 90
636 879813 4 490 90
637 879813 5 506 90
638 879813 6 543 90
639 879813 7 564 90
640 879813 8 602 90
641 885813 1 340 102
642 885813 2 381 102
643 885813 3 408 102
644 885813 4 438 102
645 885813 5 490 102
646 885813 6 473 102
647 885813 7 549 102
648 885813 8 602 102
649 887813 1 356 112
650 887813 2 444 112
651 887813 3 426 112
652 887813 4 504 112
653 887813 5 523 112
654 887813 6 585 112
655 887813 7 616 112
656 887813 8 606 112
657 891813 1 351 117
658 891813 2 421 117
659 891813 3 481 117
660 891813 4 569 117
661 891813 5 588 117
662 891813 6 638 117
663 891813 7 693 117
664 891813 8 762 117
665 892313 1 302 91
666 892313 2 387 91
667 892313 3 404 91
668 892313 4 406 91
669 892313 5 449 91
670 892313 6 485 91
671 892313 7 503 91
672 892313 8 531 91
673 896814 1 315 126
674 896814 2 390 126
675 896814 3 432 126
676 896814 4 469 126
677 896814 5 523 126
678 896814 6 533 126
679 896814 7 588 126
680 896814 8 616 126
681 901814 1 317 81
682 901814 2 368 81
683 901814 3 371 81
684 901814 4 418 81
685 901814 5 465 81
686 901814 6 473 81
687 901814 7 523 81
688 901814 8 566 81
689 903314 1 320 113
690 903314 2 352 113
691 903314 3 406 113
692 903314 4 422 113
693 903314 5 467 113
694 903314 6 476 113
695 903314 7 509 113
696 903314 8 548 113
697 905314 1 329 114
698 905314 2 427 114
699 905314 3 467 114
700 905314 4 522 114
701 905314 5 538 114
702 905314 6 597 114
703 905314 7 651 114
704 905314 8 648 114
705 906814 1 321 91
706 906814 2 346 91
707 906814 3 350 91
708 906814 4 402 91
709 906814 5 432 91
710 906814 6 460 91
711 906814 7 463 91
712 906814 8 510 91
713 907814 1 331 104
714 907814 2 390 104
715 907814 3 402 104
716 907814 4 445 104
717 907814 5 490 104
718 907814 6 503 104
719 907814 7 540 104
720 907814 8 544 104
721 912314 1 349 127
722 912314 2 444 127
723 912314 3 446 127
724 912314 4 452 127
725 912314 5 470 127
726 912314 6 540 127
727 912314 7 594 127
728 912314 8 613 127
729 912814 1 326 108
730 912814 2 395 108
731 912814 3 438 108
732 912814 4 490 108
733 912814 5 523 108
734 912814 6 536 108
735 912814 7 564 108
736 912814 8 593 108
737 916814 1 327 112
738 916814 2 382 112
739 916814 3 438 112
740 916814 4 469 112
741 916814 5 533 112
742 916814 6 585 112
743 916814 7 637 112
744 916814 8 648 112
745 920314 1 327 126
746 920314 2 399 126
747 920314 3 424 126
748 920314 4 463 126
749 920314 5 516 126
750 920314 6 575 126
751 920314 7 670 126
752 920314 8 662 126
753 922314 1 365 103
754 922314 2 411 103
755 922314 3 426 103
756 922314 4 472 103
757 922314 5 516 103
758 922314 6 550 103
759 922314 7 594 103
760 922314 8 583 103
761 923314 1 387 105
762 923314 2 355 105
763 923314 3 420 105
764 923314 4 466 105
765 923314 5 503 105
766 923314 6 570 105
767 923314 7 604 105
768 923314 8 655 105
769 925314 1 331 113
770 925314 2 346 113
771 925314 3 387 113
772 925314 4 408 113
773 925314 5 445 113
774 925314 6 473 113
775 925314 7 540 113
776 925314 8 586 113
777 926314 1 301 103
778 926314 2 395 103
779 926314 3 402 103
780 926314 4 458 103
781 926314 5 475 103
782 926314 6 554 103
783 926314 7 561 103
784 926314 8 576 103
785 927814 1 383 118
786 927814 2 421 118
787 927814 3 467 118
788 927814 4 538 118
789 927814 5 588 118
790 927814 6 597 118
791 927814 7 637 118
792 927814 8 679 118
793 930314 1 331 83
794 930314 2 347 83
795 930314 3 398 83
796 930314 4 424 83
797 930314 5 484 83
798 930314 6 500 83
799 930314 7 540 83
800 930314 8 599 83
801 931314 1 322 100
802 931314 2 358 100
803 931314 3 417 100
804 931314 4 447 100
805 931314 5 512 100
806 931314 6 491 100
807 931314 7 506 100
808 931314 8 569 100
809 934814 1 342 93
810 934814 2 362 93
811 934814 3 392 93
812 934814 4 422 93
813 934814 5 490 93
814 934814 6 485 93
815 934814 7 517 93
816 934814 8 569 93
817 939814 1 336 119
818 939814 2 411 119
819 939814 3 446 119
820 939814 4 460 119
821 939814 5 523 119
822 939814 6 523 119
823 939814 7 570 119
824 939814 8 609 119
825 943314 1 372 133
826 943314 2 427 133
827 943314 3 450 133
828 943314 4 530 133
829 943314 5 516 133
830 943314 6 597 133
831 943314 7 660 133
832 943314 8 689 133
833 943814 1 311 73
834 943814 2 338 73
835 943814 3 364 73
836 943814 4 390 73
837 943814 5 399 73
838 943814 6 414 73
839 943814 7 352 73
840 943814 8 433 73
841 946314 1 336 89
842 946314 2 345 89
843 946314 3 426 89
844 946314 4 486 89
845 946314 5 503 89
846 946314 6 558 89
847 946314 7 549 89
848 946314 8 613 89
849 948814 1 362 119
850 948814 2 424 119
851 948814 3 442 119
852 948814 4 490 119
853 948814 5 559 119
854 948814 6 585 119
855 948814 7 651 119
